device_id,t_start,t_end,duration_s,is_moving,label_operacional,confidence,evidence,accel_mean,accel_std,accel_rms,accel_p95,accel_p99,peak_count,peak_height_mean,peak_interval_mean,pitch_delta,roll_delta,voltage_mean
TRK-101,2025-12-12 16:36:32.140000+00:00,2025-12-12 16:36:45.139000+00:00,12.999,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.046759538642857146,0.0832535869775329,0.09285758644190928,0.15280938909999991,0.2959793178199998,0.0,0.0,,2.9547947000000008,0.30032196999999994,4427.0
TRK-101,2025-12-12 16:37:02.139000+00:00,2025-12-12 16:37:30.140000+00:00,28.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.04037347845172414,0.06866675826096709,0.0786291992855742,0.2061970219999998,0.27227319399999994,0.0,0.0,,3.2604224000000004,2.26500359,4427.0
TRK-101,2025-12-12 16:45:01.140000+00:00,2025-12-12 16:46:00.141000+00:00,59.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.025634711358999994,0.09721132927191299,0.09974808397303342,0.09748700849999996,0.386225338999998,0.0,0.0,,5.561831999999999,3.0745422000000002,4426.0
TRK-101,2025-12-12 16:48:05.139000+00:00,2025-12-12 16:49:11.140000+00:00,66.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.012870412996119403,0.05565055874735843,0.05671338966691056,0.030554689999999968,0.21079870380000124,0.0,0.0,,1.2546285,0.38823566000000004,4426.44776119403
TRK-101,2025-12-12 16:49:13.139000+00:00,2025-12-12 16:51:48.140000+00:00,155.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.020789038325,0.03706567935013323,0.04239388960567299,0.11452833625,0.16993093899999978,0.0,0.0,,3.6657766,0.87462166,4426.0
TRK-101,2025-12-12 17:08:50.140000+00:00,2025-12-12 17:09:52.140000+00:00,62.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.05407062903968254,0.08341406774559744,0.09884885765225551,0.154928856,0.4366388532000001,0.0,0.0,,7.4546719999999995,1.05848445,4426.0
TRK-101,2025-12-12 17:10:09.140000+00:00,2025-12-12 17:10:35.141000+00:00,26.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.05662348278518519,0.0746936223897909,0.09262138692747779,0.23479943949999982,0.30340132,0.0,0.0,,3.456933000000001,1.0432772000000001,4426.0
TRK-101,2025-12-12 17:18:11.139000+00:00,2025-12-12 17:18:25.141000+00:00,14.002,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.09522287587333332,0.12859131791793227,0.1565271265005982,0.36138824699999994,0.39144674539999996,0.0,0.0,,2.183826999999999,1.0225696000000002,4425.0
TRK-101,2025-12-12 17:24:27.139000+00:00,2025-12-12 17:30:13.140000+00:00,346.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.009039169857550431,0.03831165342982982,0.03930978833141014,0.026058227999999982,0.11395694524000062,0.0,0.0,,3.9994949999999996,1.1164072,4425.815561959655
TRK-101,2025-12-12 17:31:13.139000+00:00,2025-12-12 17:33:56.139000+00:00,163.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.017240548633048778,0.05564373751645369,0.05809115783005887,0.14769718049999994,0.238724983,0.0,0.0,,2.478159,2.27537205,4425.40243902439
TRK-101,2025-12-12 17:34:37.141000+00:00,2025-12-12 17:38:39.139000+00:00,241.998,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.029338331984115232,0.06926957675249583,0.07509504645751766,0.11889740399999982,0.4068593489999993,0.0,0.0,,6.499361,5.38959602,4425.0
TRK-101,2025-12-12 17:49:42.139000+00:00,2025-12-12 17:50:28.139000+00:00,46.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.04103779959574468,0.09107877217546682,0.09900983326209303,0.11059732749999994,0.4061423639999996,0.0,0.0,,2.6597040000000014,0.9647064000000001,4425.04255319149
TRK-101,2025-12-12 17:57:03.140000+00:00,2025-12-12 17:57:17.139000+00:00,13.999,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.08845134213333333,0.044694876841496915,0.09842812846610191,0.161765061,0.1656871722,0.0,0.0,,5.463814000000001,2.21853837,4424.0
TRK-101,2025-12-12 17:57:29.142000+00:00,2025-12-12 18:01:02.139000+00:00,212.997,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.023125591626822435,0.048141523173685,0.05330637209386016,0.10583305629999998,0.211362536,0.0,0.0,,3.7917179999999995,2.30495465,4424.294392523365
TRK-101,2025-12-12 18:12:09.139000+00:00,2025-12-12 18:13:10.140000+00:00,61.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.04325557015322581,0.06574337610962977,0.0782529429824008,0.17002732399999987,0.30285970060000006,0.0,0.0,,6.417221500000001,2.5256908,4424.0
TRK-101,2025-12-12 18:19:28.139000+00:00,2025-12-12 18:21:15.139000+00:00,107.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.04945629829074073,0.08455924085573233,0.09762163948290707,0.2266695665,0.3996078695999996,0.0,0.0,,5.142655999999999,5.1827833000000005,4424.0
TRK-101,2025-12-12 18:21:17.139000+00:00,2025-12-12 18:23:37.140000+00:00,140.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.017403782170212764,0.03797980489656973,0.04165485519683658,0.059036024,0.1446522179999999,0.0,0.0,,3.9308380000000005,1.8103249999999997,4424.0
TRK-101,2025-12-12 18:23:59.139000+00:00,2025-12-12 18:24:12.140000+00:00,13.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.0821445098142857,0.08454652944411818,0.11569466904325516,0.218408916,0.21990878319999999,0.0,0.0,,8.098858000000002,2.52090154,4424.0
TRK-101,2025-12-12 18:34:59.139000+00:00,2025-12-12 18:35:53.139000+00:00,54.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.045310675170909094,0.05745755947827601,0.07276265179199609,0.174565988,0.23605769960000011,0.0,0.0,,5.173126,3.0141375,4424.0
TRK-101,2025-12-12 18:36:05.140000+00:00,2025-12-12 18:36:23.140000+00:00,18.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.08824229236842106,0.0900549742577556,0.1243775051755985,0.2306046949999996,0.36174596300000006,0.0,0.0,,4.449161999999999,1.8764094500000001,4423.0
TRK-101,2025-12-12 18:41:51.139000+00:00,2025-12-12 18:43:22.139000+00:00,91.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.021238564243152177,0.045297966817567765,0.049806416103016116,0.1040694762,0.22516020100000017,0.0,0.0,,2.9786269999999995,1.7558224999999998,4423.0
TRK-101,2025-12-12 18:43:24.139000+00:00,2025-12-12 18:44:04.139000+00:00,40.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.02569638171804878,0.0548384885849729,0.05995178114906375,0.12454198,0.2467747640000001,0.0,0.0,,4.794656399999999,2.7881155,4423.390243902439
