cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
17,carregamento,2025-12-12T21:49:02-03:00,2025-12-12T21:52:14-03:00,193,-11.698985,-47.157285,"-11.699,-47.157",1
17,espera_basculamento,2025-12-12T22:03:16-03:00,2025-12-12T22:04:08-03:00,53,-11.692607,-47.164302,"-11.693,-47.164",1
17,basculamento,2025-12-12T22:05:17-03:00,2025-12-12T22:06:06-03:00,50,-11.692162,-47.164277,"-11.692,-47.164",1
17,espera_basculamento,2025-12-12T22:06:38-03:00,2025-12-12T22:09:14-03:00,157,-11.692077,-47.164234,"-11.692,-47.164",1
18,espera_carregamento,2025-12-12T22:15:17-03:00,2025-12-12T22:16:03-03:00,47,-11.699118,-47.157208,"-11.699,-47.157",1
18,carregamento,2025-12-12T22:16:50-03:00,2025-12-12T22:19:57-03:00,188,-11.699055,-47.157400,"-11.699,-47.157",1
18,basculamento,2025-12-12T22:30:27-03:00,2025-12-12T22:31:03-03:00,37,-11.692777,-47.165123,"-11.693,-47.165",1
18,basculamento,2025-12-12T22:31:10-03:00,2025-12-12T22:31:22-03:00,13,-11.692797,-47.165159,"-11.693,-47.165",1
19,espera_carregamento,2025-12-12T22:36:43-03:00,2025-12-12T22:38:09-03:00,87,-11.699014,-47.157398,"-11.699,-47.157",1
19,carregamento,2025-12-12T22:38:50-03:00,2025-12-12T22:41:45-03:00,176,-11.699099,-47.157502,"-11.699,-47.158",0
,espera_basculamento,2025-12-12T22:52:17-03:00,2025-12-12T22:52:54-03:00,38,-11.692708,-47.165101,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T22:53:07-03:00,2025-12-13T00:11:12-03:00,4686,-11.692751,-47.165135,"-11.693,-47.165",1
,carregamento,2025-12-13T00:18:51-03:00,2025-12-13T00:21:26-03:00,156,-11.698992,-47.157455,"-11.699,-47.157",0
,espera_basculamento,2025-12-13T00:31:57-03:00,2025-12-13T00:32:36-03:00,40,-11.692810,-47.165164,"-11.693,-47.165",1
,espera_carregamento,2025-12-13T00:39:16-03:00,2025-12-13T00:43:44-03:00,269,-11.699205,-47.157561,"-11.699,-47.158",1
,carregamento,2025-12-13T00:44:10-03:00,2025-12-13T00:48:32-03:00,262,-11.699107,-47.157463,"-11.699,-47.157",0
,espera_basculamento,2025-12-13T00:59:25-03:00,2025-12-13T01:00:03-03:00,39,-11.692778,-47.165236,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T01:00:15-03:00,2025-12-13T01:00:30-03:00,16,-11.692846,-47.165221,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T01:01:30-03:00,2025-12-13T01:03:45-03:00,136,-11.693517,-47.164250,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T01:04:05-03:00,2025-12-13T01:07:53-03:00,229,-11.693583,-47.164309,"-11.694,-47.164",1
20,carregamento,2025-12-13T01:13:34-03:00,2025-12-13T01:22:22-03:00,307,-11.699127,-47.157470,"-11.699,-47.157",1
20,espera_carregamento,2025-12-13T01:15:38-03:00,2025-12-13T01:16:12-03:00,35,-11.699039,-47.157389,"-11.699,-47.157",1
20,espera_carregamento,2025-12-13T01:16:36-03:00,2025-12-13T01:17:04-03:00,29,-11.699194,-47.157489,"-11.699,-47.157",1
20,espera_carregamento,2025-12-13T01:17:20-03:00,2025-12-13T01:18:12-03:00,53,-11.699317,-47.157496,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T01:19:02-03:00,2025-12-13T01:22:23-03:00,202,-11.699141,-47.157577,"-11.699,-47.158",1
20,basculamento,2025-12-13T01:33:14-03:00,2025-12-13T01:33:50-03:00,37,-11.692857,-47.165194,"-11.693,-47.165",1
,espera_carregamento,2025-12-13T01:39:31-03:00,2025-12-13T01:45:18-03:00,348,-11.699025,-47.157411,"-11.699,-47.157",1
21,carregamento,2025-12-13T01:46:14-03:00,2025-12-13T01:50:07-03:00,234,-11.699196,-47.157579,"-11.699,-47.158",1
21,basculamento,2025-12-13T02:00:57-03:00,2025-12-13T02:01:26-03:00,30,-11.692869,-47.165211,"-11.693,-47.165",1
21,basculamento,2025-12-13T02:01:43-03:00,2025-12-13T02:01:52-03:00,10,-11.692938,-47.165231,"-11.693,-47.165",1
22,carregamento,2025-12-13T02:08:18-03:00,2025-12-13T02:14:30-03:00,311,-11.699083,-47.157521,"-11.699,-47.158",0
22,espera_carregamento,2025-12-13T02:10:49-03:00,2025-12-13T02:11:05-03:00,17,-11.699225,-47.157554,"-11.699,-47.158",1
22,espera_carregamento,2025-12-13T02:11:23-03:00,2025-12-13T02:14:30-03:00,188,-11.699123,-47.157575,"-11.699,-47.158",1
,espera_basculamento,2025-12-13T02:24:47-03:00,2025-12-13T02:25:29-03:00,43,-11.692919,-47.165221,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T02:25:42-03:00,2025-12-13T02:25:58-03:00,17,-11.693000,-47.165252,"-11.693,-47.165",1
23,carregamento,2025-12-13T02:32:06-03:00,2025-12-13T02:36:15-03:00,250,-11.699201,-47.157564,"-11.699,-47.158",1
23,basculamento,2025-12-13T02:46:53-03:00,2025-12-13T02:47:41-03:00,49,-11.692940,-47.165255,"-11.693,-47.165",1
23,basculamento,2025-12-13T02:47:53-03:00,2025-12-13T02:48:10-03:00,18,-11.692986,-47.165252,"-11.693,-47.165",1
24,carregamento,2025-12-13T02:53:33-03:00,2025-12-13T02:59:01-03:00,285,-11.699108,-47.157567,"-11.699,-47.158",1
24,espera_carregamento,2025-12-13T02:55:58-03:00,2025-12-13T02:59:01-03:00,184,-11.699047,-47.157571,"-11.699,-47.158",1
24,basculamento,2025-12-13T03:09:15-03:00,2025-12-13T03:09:55-03:00,41,-11.692929,-47.165274,"-11.693,-47.165",1
24,espera_basculamento,2025-12-13T03:10:07-03:00,2025-12-13T03:10:24-03:00,18,-11.692989,-47.165238,"-11.693,-47.165",1
25,espera_carregamento,2025-12-13T03:16:50-03:00,2025-12-13T03:17:48-03:00,59,-11.699004,-47.157393,"-11.699,-47.157",1
25,espera_carregamento,2025-12-13T03:17:51-03:00,2025-12-13T03:18:21-03:00,31,-11.699016,-47.157410,"-11.699,-47.157",1
25,carregamento,2025-12-13T03:18:30-03:00,2025-12-13T03:20:58-03:00,149,-11.699032,-47.157515,"-11.699,-47.158",1
,espera_basculamento,2025-12-13T03:30:33-03:00,2025-12-13T03:47:33-03:00,1021,-11.694533,-47.165957,"-11.695,-47.166",1
25,espera_basculamento,2025-12-13T03:49:16-03:00,2025-12-13T03:50:03-03:00,48,-11.692923,-47.165212,"-11.693,-47.165",1
25,basculamento,2025-12-13T03:50:16-03:00,2025-12-13T03:50:32-03:00,17,-11.692979,-47.165171,"-11.693,-47.165",1
26,espera_carregamento,2025-12-13T03:55:17-03:00,2025-12-13T03:58:22-03:00,186,-11.699211,-47.157563,"-11.699,-47.158",1
26,carregamento,2025-12-13T03:59:16-03:00,2025-12-13T04:01:42-03:00,147,-11.699051,-47.157661,"-11.699,-47.158",1
26,basculamento,2025-12-13T04:12:14-03:00,2025-12-13T04:12:51-03:00,38,-11.693037,-47.165300,"-11.693,-47.165",1
